model,pos,n,accuracy,macro_f1,fp,fn
mbert,adjective,12,0.5833333333333334,0.5555555555555556,2,3
mbert,noun,42,0.47619047619047616,0.4652777777777778,13,9
mbert,verb,42,0.47619047619047616,0.4296296296296296,18,4
muril,adjective,12,0.4166666666666667,0.29411764705882354,7,0
muril,noun,42,0.5238095238095238,0.34375,20,0
muril,verb,42,0.47619047619047616,0.3225806451612903,22,0
xlmr,adjective,12,0.4166666666666667,0.29411764705882354,7,0
xlmr,noun,42,0.5238095238095238,0.34375,20,0
xlmr,verb,42,0.47619047619047616,0.3225806451612903,22,0
